"","x"
"SPAG7",3979.01100770761
"NDNL2",3978.49473100223
"CLTA",3976.70513343033
"PDAP1",3973.47415987843
"NENF",3968.1923486559
"TMBIM4.1",3967.08942010513
"TMED2",3966.75683272303
"DSTN",3966.04016476509
"UGP2",3965.18879642491
"ZNF428",3964.58778691881
"H3F3A",3962.15048997467
"PSMA5",3961.52659615852
"TCF25",3961.46115966287
"TGFB1",3960.13006005388
"CAMLG",3954.53829877951
"RPL22L1",3951.81711765861
"CACYBP",3950.54353437798
"DDX46",3949.35097673238
"SUMO3",3947.79426142922
"HSD17B10",3946.39510745751
"GSTO1",3946.38038439668
"SP100",3944.70155267159
"TEX264",3943.4762241209
"YWHAZ",3941.98015813845
"LINC00861",3939.4739450688
"RSBN1L",3939.44598288077
"SNRPF",3937.98339097738
"KARS",3930.90844537959
"ARPC5L",3927.06718175208
"RGCC",3926.16063967033
"DGCR6L",3924.9163150528
"CSK",3915.14433521484
"TMEM261",3914.19298407113
"H2AFY",3912.07867359822
"C14orf2",3911.45547935435
"SNX17",3903.82555186386
"PQBP1",3902.2498826408
"PRPF38B",3899.21069575307
"LDLRAP1",3898.20667619543
"ATP6AP2",3896.88003221722
"ARGLU1",3896.17628486019
"UBE2L3",3895.75279386402
"PLEKHJ1",3889.98059347352
"TMC6",3885.29607783082
"TCEA1",3884.43983987224
