"","Gene","effect.size","p.value","q.value"
"ENSG00000007312.CD79B","ENSG00000254040.RP11.421P23.2",2.52038289257913,2.54638840663637e-254,2.6115459923356e-251
"ENSG00000111796.KLRB1","ENSG00000204475.NCR3",2.44207340286168,2.49683882011364e-217,2.29117814887797e-214
"ENSG00000132465.IGJ","ENSG00000272861.RP11.332H14.1",2.41635375062036,5.2225914682946e-06,0.000373179845285723
"ENSG00000170458.CD14","ENSG00000135925.WNT10A",2.41519451984331,2.6798457754347e-10,3.53962962838667e-08
"ENSG00000100450.GZMH","ENSG00000261795.RP11.90P13.1",2.40409821992422,4.01920769779757e-97,2.26048020035808e-94
"ENSG00000156738.MS4A1","ENSG00000113272.THG1L",2.32662367452035,4.26946388046653e-111,2.65850366985478e-108
"ENSG00000100721.TCL1A","ENSG00000106536.POU6F2",2.32290708528382,1.02658947517603e-81,5.59330859365439e-79
"ENSG00000180644.PRF1","ENSG00000250320.CTD.2269F5.1",2.29146530275358,7.1277135188593e-141,4.97086740805248e-138
"ENSG00000171476.HOPX","ENSG00000225765.AC068535.3",2.26098783431358,1.92457048659914e-169,1.59785173494552e-166
"ENSG00000110077.MS4A6A","ENSG00000253519.AC106801.1",2.2049208034941,3.27046745615963e-07,2.85103000490716e-05
"ENSG00000113088.GZMK","ENSG00000144320.KIAA1715",2.2044704763365,5.88107366415134e-38,1.97185614104767e-35
"ENSG00000160307.S100B","ENSG00000233590.RP11.153K11.3",2.17527343561241,3.18073172998246e-78,1.68048659734073e-75
"ENSG00000237541.HLA.DQA2","ENSG00000172940.SLC22A13",2.12829113004472,1.49000933307207e-106,8.95803886969363e-104
"ENSG00000008517.IL32","ENSG00000243317.C7orf73",2.08749516211227,0,0
"ENSG00000100097.LGALS1","ENSG00000026025.VIM",2.02699930747268,3.57834504569489e-142,2.5995185779871e-139
"ENSG00000106565.TMEM176B","ENSG00000113916.BCL6",2.00430164041406,4.50554875964914e-08,4.50950671943981e-06
"ENSG00000159674.SPON2","ENSG00000231172.AC007099.1",1.94445792429221,2.04591273104657e-77,1.04913201369991e-74
"ENSG00000172116.CD8B","ENSG00000272205.RP11.277B15.3",1.91830007532069,9.19937971534087e-127,5.94041427173956e-124
"ENSG00000203747.FCGR3A","ENSG00000213512.GBP7",1.91193136906212,4.31301509230562e-68,1.97887942458812e-65
"ENSG00000158481.CD1C","ENSG00000260322.RP11.339A11.2",1.91075071242615,3.45076524809023e-15,6.68489912227257e-13
"ENSG00000129277.CCL4","ENSG00000189252.SPANXN3",1.87888336692208,3.00674181673856e-41,1.09213632447577e-38
"ENSG00000197766.CFD","ENSG00000254361.RP11.238K6.2",1.86161155943899,3.55080798442036e-09,4.02002189664734e-07
"ENSG00000172543.CTSW","ENSG00000250909.RP11.843P14.2",1.85883142157265,5.56802231932355e-168,4.41265768806392e-165
"ENSG00000006075.CCL3","ENSG00000227303.GS1.256O22.5",1.85878392961053,1.39882828068271e-25,3.81071423026611e-23
"ENSG00000134545.KLRC1","ENSG00000213719.CLIC1",1.84700832629093,4.61053389921789e-36,1.51669167043139e-33
"ENSG00000140749.IGSF6","ENSG00000273419.RP4.751H13.7",1.83218816775558,0.000106845254574169,0.0052180588613463
"ENSG00000170476.MZB1","ENSG00000163464.CXCR1",1.7849052977864,1.82240987079435e-05,0.00114706556307941
"ENSG00000167641.PPP1R14A","ENSG00000260454.RP11.367F23.2",1.78278293637951,1.97744996732625e-12,3.22213459629282e-10
"ENSG00000179344.HLA.DQB1","ENSG00000172939.OXSR1",1.77384878477872,8.77782188996434e-61,3.73271523540313e-58
"ENSG00000150045.KLRF1","ENSG00000227198.C6orf47.AS1",1.73773229901251,1.35336392571343e-54,5.48741861507293e-52
"ENSG00000143184.XCL1","ENSG00000023909.GCLM",1.67148546646577,3.88162655734541e-19,8.67643064452784e-17
"ENSG00000163453.IGFBP7","ENSG00000228528.AC068057.1",1.66193086976202,9.09864520247045e-31,2.64391465175121e-28
"ENSG00000134539.KLRD1","ENSG00000204424.LY6G6F",1.62673087021596,1.69876399606106e-34,5.28891969130797e-32
"ENSG00000204257.HLA.DMA","ENSG00000168356.SCN11A",1.61239767232582,1.41926554644117e-38,4.94897896044036e-36
"ENSG00000196154.S100A4","ENSG00000088035.ALG6",1.59886856036977,1.19239921064836e-165,9.03890445115397e-163
"ENSG00000128218.VPREB3","ENSG00000047056.WDR37",1.58572783523504,4.71306765532353e-25,1.2450353722813e-22
"ENSG00000234184.RP5.887A10.1","ENSG00000234481.RP4.614N24.1",1.58437073842868,1.14409433039516e-08,1.24670529065247e-06
"ENSG00000184451.CCR10","ENSG00000007350.TKTL1",1.56134109984283,2.66264688326279e-10,3.53962962838667e-08
"ENSG00000204472.AIF1","ENSG00000144645.OSBPL10",1.55607988229855,3.77807446878982e-34,1.15562681339211e-31
"ENSG00000143185.XCL2","ENSG00000067334.DNTTIP2",1.5479336621502,2.47918598941706e-16,4.96834571557315e-14
"ENSG00000242574.HLA.DMB","ENSG00000231243.RP11.134J21.1",1.54744505568721,3.45885044643932e-31,1.02211961921474e-28
"ENSG00000247982.LINC00926","ENSG00000157224.CLDN12",1.54549729320197,7.99804938416349e-23,2.05067633842486e-20
"ENSG00000221869.CEBPD","ENSG00000029559.IBSP",1.54211524131811,1.16216573972077e-18,2.56485565468755e-16
"ENSG00000112799.LY86","ENSG00000215023.AC114730.5",1.52969342812864,1.65080404333198e-22,4.11168121364186e-20
"ENSG00000205809.KLRC2","ENSG00000213722.DDAH2",1.52485357745507,0.000166400983490433,0.00751606514807178
"ENSG00000262074.SNORD3B.2","ENSG00000125351.UPF3B",1.51925037041651,4.26897257296433e-32,1.28326787602816e-29
"ENSG00000167618.LAIR2","ENSG00000148343.FAM73B",1.50820269294301,1.19650696760277e-08,1.29572043354995e-06
"ENSG00000142634.EFHD2","ENSG00000237436.RP11.312B8.1",1.49506779556499,9.9197927508951e-36,3.20280715947882e-33
"ENSG00000036448.MYOM2","ENSG00000251055.RP11.257A22.1",1.47798450020828,7.79589342253039e-11,1.09614033727272e-08
"ENSG00000131981.LGALS3","ENSG00000272894.RP5.1159O4.1",1.47605579316471,1.35535951444565e-16,2.74775501562325e-14
"ENSG00000117281.CD160","ENSG00000162384.C1orf123",1.47520494974928,4.8101562177445e-14,8.92181634642292e-12
"ENSG00000256039.RP11.291B21.2","ENSG00000255152.MSH5.SAPCD1",1.47035845652951,1.6389696424166e-25,4.39622087931284e-23
"ENSG00000167768.KRT1","ENSG00000231113.RP3.475N16.1",1.45254860725223,0.000211736251475326,0.00902596954638708
"ENSG00000025708.TYMP","ENSG00000229630.RP11.124O11.2",1.45088456889233,1.13514195482749e-13,2.0615833315018e-11
"ENSG00000269404.SPIB","ENSG00000234921.RP11.85O21.5",1.44934075176014,8.12917185790052e-12,1.2432641345833e-09
"ENSG00000204482.LST1","ENSG00000144644.GADL1",1.43328894978783,1.06706101659688e-15,2.11411463913257e-13
"ENSG00000066336.SPI1","ENSG00000186334.SLC36A3",1.43259132621591,1.95522099048384e-09,2.27261853127239e-07
"ENSG00000226777.KIAA0125","ENSG00000226122.AC018705.5",1.43084386795136,4.33411034489223e-10,5.51570904110919e-08
"ENSG00000104921.FCER2","ENSG00000268155.AL161450.1",1.42980633209847,2.51435950672334e-14,4.76498456518712e-12
"ENSG00000145287.PLAC8","ENSG00000230499.AC108463.1",1.41592668437564,1.47959916536818e-62,6.44920286204856e-60
"ENSG00000152492.CCDC50","ENSG00000116005.PCYOX1",1.41108809526377,2.27628706742865e-06,0.000178770563155939
